('aa', 'aa')
('aba', 'aba')
('abut', 'tuba')
('ad', 'da')
('ados', 'soda')
('aga', 'aga')
('agar', 'raga')
('agas', 'saga')
('agenes', 'senega')
('ah', 'ha')
('aha', 'aha')
('aider', 'redia')
('airts', 'stria')
('ajar', 'raja')
('ala', 'ala')
('alif', 'fila')
('alula', 'alula')
('am', 'ma')
('ama', 'ama')
('amen', 'nema')
('amis', 'sima')
('an', 'na')
('ana', 'ana')
('anger', 'regna')
('animal', 'lamina')
('animes', 'semina')
('anna', 'anna')
('anon', 'nona')
('ante', 'etna')
('are', 'era')
('ares', 'sera')
('aril', 'lira')
('arris', 'sirra')
('arum', 'mura')
('at', 'ta')
('ate', 'eta')
('ates', 'seta')
('auks', 'skua')
('ava', 'ava')
('avid', 'diva')
('avo', 'ova')
('awa', 'awa')
('ay', 'ya')
('bad', 'dab')
('bag', 'gab')
('bal', 'lab')
('bals', 'slab')
('ban', 'nab')
('bard', 'drab')
('bas', 'sab')
('bat', 'tab')
('bats', 'stab')
('bed', 'deb')
('ben', 'neb')
('bib', 'bib')
('bid', 'dib')
('big', 'gib')
('bin', 'nib')
('bins', 'snib')
('bird', 'drib')
('bis', 'sib')
('bob', 'bob')
('bog', 'gob')
('boob', 'boob')
('bos', 'sob')
('bots', 'stob')
('bows', 'swob')
('brad', 'darb')
('brag', 'garb')
('bub', 'bub')
('bud', 'dub')
('bun', 'nub')
('buns', 'snub')
('bur', 'rub')
('burd', 'drub')
('burg', 'grub')
('bus', 'sub')
('but', 'tub')
('buts', 'stub')
('cam', 'mac')
('cap', 'pac')
('cares', 'serac')
('civic', 'civic')
('cod', 'doc')
('cram', 'marc')
('cud', 'duc')
('da', 'ad')
('dab', 'bad')
('dad', 'dad')
('dag', 'gad')
('dah', 'had')
('dahs', 'shad')
('dam', 'mad')
('dap', 'pad')
('darb', 'brad')
('dart', 'trad')
('daw', 'wad')
('deb', 'bed')
('debut', 'tubed')
('decal', 'laced')
('dedal', 'laded')
('deed', 'deed')
('deem', 'meed')
('deep', 'peed')
('deeps', 'speed')
('deer', 'reed')
('dees', 'seed')
('defer', 'refed')
('degami', 'imaged')
('deified', 'deified')
('deifier', 'reified')
('deil', 'lied')
('deke', 'eked')
('deked', 'deked')
('del', 'led')
('deled', 'deled')
('delf', 'fled')
('deliver', 'reviled')
('dels', 'sled')
('demit', 'timed')
('denier', 'reined')
('denies', 'seined')
('denim', 'mined')
('denned', 'denned')
('dens', 'sned')
('depot', 'toped')
('depots', 'stoped')
('derat', 'tared')
('derats', 'stared')
('dessert', 'tressed')
('desserts', 'stressed')
('devas', 'saved')
('devil', 'lived')
('dew', 'wed')
('dewans', 'snawed')
('dewed', 'dewed')
('dexes', 'sexed')
('dial', 'laid')
('dialer', 'relaid')
('diaper', 'repaid')
('dib', 'bid')
('did', 'did')
('dig', 'gid')
('dim', 'mid')
('dinar', 'ranid')
('diols', 'sloid')
('dirts', 'strid')
('diva', 'avid')
('do', 'od')
('doc', 'cod')
('dog', 'god')
('dom', 'mod')
('don', 'nod')
('doom', 'mood')
('door', 'rood')
('dor', 'rod')
('dormin', 'nimrod')
('dorp', 'prod')
('dos', 'sod')
('dot', 'tod')
('drab', 'bard')
('drail', 'liard')
('draw', 'ward')
('drawer', 'reward')
('draws', 'sward')
('dray', 'yard')
('drib', 'bird')
('drub', 'burd')
('dual', 'laud')
('dub', 'bud')
('duc', 'cud')
('ducs', 'scud')
('dud', 'dud')
('duel', 'leud')
('duo', 'oud')
('dup', 'pud')
('dups', 'spud')
('eat', 'tae')
('edile', 'elide')
('edit', 'tide')
('eel', 'lee')
('eh', 'he')
('eke', 'eke')
('eked', 'deke')
('elide', 'edile')
('elides', 'sedile')
('em', 'me')
('eme', 'eme')
('emes', 'seme')
('emir', 'rime')
('emit', 'time')
('emits', 'stime')
('enol', 'lone')
('er', 're')
('era', 'are')
('ere', 'ere')
('ergo', 'ogre')
('eros', 'sore')
('ervil', 'livre')
('eta', 'ate')
('etas', 'sate')
('etna', 'ante')
('eve', 'eve')
('even', 'neve')
('evil', 'live')
('eviler', 'relive')
('ewe', 'ewe')
('eye', 'eye')
('fer', 'ref')
('fila', 'alif')
('fires', 'serif')
('fled', 'delf')
('flog', 'golf')
('flow', 'wolf')
('fool', 'loof')
('gab', 'bag')
('gad', 'dag')
('gag', 'gag')
('gal', 'lag')
('gals', 'slag')
('gam', 'mag')
('gan', 'nag')
('gar', 'rag')
('garb', 'brag')
('gas', 'sag')
('gat', 'tag')
('gats', 'stag')
('gel', 'leg')
('gelder', 'redleg')
('get', 'teg')
('gib', 'big')
('gid', 'dig')
('gig', 'gig')
('gip', 'pig')
('girt', 'trig')
('gnar', 'rang')
('gnat', 'tang')
('gnats', 'stang')
('gnaws', 'swang')
('gnus', 'sung')
('gob', 'bog')
('god', 'dog')
('golf', 'flog')
('got', 'tog')
('grub', 'burg')
('gul', 'lug')
('gulp', 'plug')
('guls', 'slug')
('gum', 'mug')
('gums', 'smug')
('guns', 'snug')
('gut', 'tug')
('ha', 'ah')
('habus', 'subah')
('had', 'dah')
('hah', 'hah')
('hahs', 'shah')
('halalah', 'halalah')
('hales', 'selah')
('hallah', 'hallah')
('hap', 'pah')
('hay', 'yah')
('he', 'eh')
('hey', 'yeh')
('ho', 'oh')
('hoop', 'pooh')
('hop', 'poh')
('huh', 'huh')
('imaged', 'degami')
('is', 'si')
('it', 'ti')
('jar', 'raj')
('kaiak', 'kaiak')
('kay', 'yak')
('kayak', 'kayak')
('keek', 'keek')
('keel', 'leek')
('keels', 'sleek')
('keep', 'peek')
('keets', 'steek')
('kips', 'spik')
('knaps', 'spank')
('knar', 'rank')
('knits', 'stink')
('kook', 'kook')
('lab', 'bal')
('laced', 'decal')
('laded', 'dedal')
('lag', 'gal')
('lager', 'regal')
('laid', 'dial')
('lair', 'rial')
('lamina', 'animal')
('lap', 'pal')
('lares', 'seral')
('larum', 'mural')
('las', 'sal')
('laud', 'dual')
('led', 'del')
('lee', 'eel')
('leek', 'keel')
('leer', 'reel')
('lees', 'seel')
('leets', 'steel')
('leg', 'gel')
('leper', 'repel')
('leud', 'duel')
('level', 'level')
('lever', 'revel')
('levins', 'snivel')
('liar', 'rail')
('liard', 'drail')
('lied', 'deil')
('lin', 'nil')
('lion', 'noil')
('lira', 'aril')
('lit', 'til')
('live', 'evil')
('lived', 'devil')
('livre', 'ervil')
('lobo', 'obol')
('lone', 'enol')
('loof', 'fool')
('loom', 'mool')
('loons', 'snool')
('loop', 'pool')
('loops', 'spool')
('loot', 'tool')
('looter', 'retool')
('loots', 'stool')
('lop', 'pol')
('lotos', 'sotol')
('lug', 'gul')
('ma', 'am')
('mac', 'cam')
('macs', 'scam')
('mad', 'dam')
('madam', 'madam')
('maes', 'seam')
('mag', 'gam')
('map', 'pam')
('mar', 'ram')
('marc', 'cram')
('marcs', 'scram')
('marram', 'marram')
('mart', 'tram')
('mat', 'tam')
('maws', 'swam')
('may', 'yam')
('me', 'em')
('meed', 'deem')
('meet', 'teem')
('mem', 'mem')
('meter', 'retem')
('mho', 'ohm')
('mid', 'dim')
('mils', 'slim')
('mim', 'mim')
('mined', 'denim')
('minim', 'minim')
('mir', 'rim')
('mis', 'sim')
('mod', 'dom')
('mom', 'mom')
('mon', 'nom')
('mood', 'doom')
('mool', 'loom')
('moor', 'room')
('moot', 'toom')
('mot', 'tom')
('mug', 'gum')
('mum', 'mum')
('mura', 'arum')
('mural', 'larum')
('mures', 'serum')
('mus', 'sum')
('muts', 'stum')
('na', 'an')
('nab', 'ban')
('nag', 'gan')
('namer', 'reman')
('nap', 'pan')
('naps', 'span')
('neb', 'ben')
('neep', 'peen')
('nema', 'amen')
('net', 'ten')
('neve', 'even')
('neves', 'seven')
('new', 'wen')
('nib', 'bin')
('nil', 'lin')
('nimrod', 'dormin')
('nip', 'pin')
('nips', 'spin')
('nit', 'tin')
('no', 'on')
('nod', 'don')
('noil', 'lion')
('nolos', 'solon')
('nom', 'mon')
('nona', 'anon')
('noon', 'noon')
('nos', 'son')
('not', 'ton')
('notes', 'seton')
('now', 'won')
('nu', 'un')
('nub', 'bun')
('nun', 'nun')
('nus', 'sun')
('nut', 'tun')
('nuts', 'stun')
('oat', 'tao')
('obol', 'lobo')
('od', 'do')
('ogre', 'ergo')
('oh', 'ho')
('ohm', 'mho')
('oho', 'oho')
('on', 'no')
('oohs', 'shoo')
('oot', 'too')
('os', 'so')
('otto', 'otto')
('oud', 'duo')
('ova', 'avo')
('ow', 'wo')
('pac', 'cap')
('pacer', 'recap')
('pad', 'dap')
('pah', 'hap')
('pal', 'lap')
('pals', 'slap')
('pam', 'map')
('pan', 'nap')
('pans', 'snap')
('pap', 'pap')
('par', 'rap')
('part', 'trap')
('parts', 'strap')
('pas', 'sap')
('pat', 'tap')
('paw', 'wap')
('paws', 'swap')
('pay', 'yap')
('peed', 'deep')
('peek', 'keep')
('peels', 'sleep')
('peen', 'neep')
('peep', 'peep')
('pees', 'seep')
('pep', 'pep')
('per', 'rep')
('pets', 'step')
('pig', 'gip')
('pin', 'nip')
('pins', 'snip')
('pip', 'pip')
('pis', 'sip')
('pit', 'tip')
('plug', 'gulp')
('poh', 'hop')
('pol', 'lop')
('pols', 'slop')
('pooh', 'hoop')
('pool', 'loop')
('pools', 'sloop')
('poons', 'snoop')
('poop', 'poop')
('pop', 'pop')
('port', 'trop')
('ports', 'strop')
('pot', 'top')
('pots', 'stop')
('pow', 'wop')
('pows', 'swop')
('prat', 'tarp')
('prod', 'dorp')
('pud', 'dup')
('pup', 'pup')
('pupils', 'slipup')
('puris', 'sirup')
('pus', 'sup')
('put', 'tup')
('radar', 'radar')
('rag', 'gar')
('raga', 'agar')
('rail', 'liar')
('raj', 'jar')
('raja', 'ajar')
('ram', 'mar')
('rang', 'gnar')
('ranid', 'dinar')
('rank', 'knar')
('rap', 'par')
('raps', 'spar')
('rat', 'tar')
('rats', 'star')
('raw', 'war')
('ray', 'yar')
('re', 'er')
('rebus', 'suber')
('rebut', 'tuber')
('recap', 'pacer')
('recaps', 'spacer')
('redder', 'redder')
('redes', 'seder')
('redia', 'aider')
('redips', 'spider')
('redleg', 'gelder')
('redraw', 'warder')
('redrawer', 'rewarder')
('reed', 'deer')
('reel', 'leer')
('rees', 'seer')
('ref', 'fer')
('refed', 'defer')
('refer', 'refer')
('reflet', 'telfer')
('reflow', 'wolfer')
('regal', 'lager')
('regna', 'anger')
('reified', 'deifier')
('reifier', 'reifier')
('reined', 'denier')
('reknit', 'tinker')
('reknits', 'stinker')
('relaid', 'dialer')
('relit', 'tiler')
('relive', 'eviler')
('reman', 'namer')
('remeet', 'teemer')
('remit', 'timer')
('rennet', 'tenner')
('rep', 'per')
('repaid', 'diaper')
('repaper', 'repaper')
('repel', 'leper')
('repins', 'sniper')
('res', 'ser')
('retem', 'meter')
('retool', 'looter')
('revel', 'lever')
('reviled', 'deliver')
('reviver', 'reviver')
('reward', 'drawer')
('rewarder', 'redrawer')
('rial', 'lair')
('rim', 'mir')
('rime', 'emir')
('rod', 'dor')
('rood', 'door')
('room', 'moor')
('rot', 'tor')
('rotator', 'rotator')
('rotor', 'rotor')
('rub', 'bur')
('sab', 'bas')
('sag', 'gas')
('saga', 'agas')
('sagas', 'sagas')
('sal', 'las')
('sallets', 'stellas')
('sap', 'pas')
('saps', 'spas')
('sat', 'tas')
('sate', 'etas')
('saved', 'devas')
('saw', 'was')
('scam', 'macs')
('scares', 'seracs')
('scram', 'marcs')
('scud', 'ducs')
